"LocationFindLocationLatitude","LocationFindLocationLongitude"
-45.0807134,168.4716631
-44.907,168.033
-34.99998,173.944387
-44.8721673,170.4345019
-43.72657625,170.0991754
-36.802605,174.313062
-39.1523172,175.633129
-34.4366,172.714482
-41.7063352,178.2451637
-43.728518,173.143073
-43.731669,170.0941
-41.29950054,174.8761697
-38.435,174.735
-41.105491,174.834425
-37.764466,175.302977
-40.9951348,174.0648758
-34.427444,172.693431
-36.7854587,174.8608448
-36.797621,174.9229489
-38.33469,176.778099
-45.8822249,170.4939593
-36.812187,174.803767
-43.28536718,172.5307912
-41.333266,174.660264
-36.985918,174.471152
-42.383713,172.399485
-41.8043992,172.8509464
-40.9259601,173.8454082
-36.8625,174.874722
-41.2333334,174.6333366
-40.72620225,175.3566711
-42.8399962,171.632332
-36.7583313,174.7666635
-41.1254606,174.8246971
-37.003609,175.8568776
-41.3063354,174.8041697
-36.8947768,174.720023
-43.5607882,171.7298968
-40.5734641,172.5513312
-37.6894444,176.2833373
-38.7865546,177.1304218
-42.65574271,171.3875738
-36.9388317,174.7813326
-39.61600115,176.7740589
-43.736528,170.095752
-39.29667,174.062713
-44.5481773,168.3745315
-41.589,173.056
-36.801446,174.683093
-43.5871726,172.6979237
-36.626931,174.774007
-38.321596,175.709902
NA,NA
-39.5195512,174.0393711
-39.0633332,173.9520047
-44.435802,170.8617038
-38.51207741,176.9122047
-37.7420727,175.2530894
-36.8924824,174.4415892
-39.4654183,175.0842708
-38.245021,177.312344
-38.694305,176.077417
-37.8621721,175.3338178
-44.9356444,171.1312876
-37.7686382,175.2615809
-43.1632729,170.6282303
-44.99722182,168.6303526
-41.264554,174.762372
-36.953562,174.46585
-36.8937099,174.720246
-41.289337,174.793827
-36.897973,174.436365
-37.63655105,176.0982132
-41.257057,174.866924
-41.154778,173.413216
-36.8366096,175.8256038
-36.829803,174.721198
-36.403383,174.747184
-36.7367165,174.926938
-40.047746,175.749714
-40.8926416,174.9744953
-36.828701,174.739474
-37.095687,175.861611
-36.626113,174.72951
-45.812561,170.558922
-36.8416637,174.7166681
-39.1501087,175.6351756
-36.0801187,174.6009219
-37.042515,174.981077
-38.011667,175.090556
-44.62566206,168.8845807
-37.794835,174.8836656
-43.26836276,172.025199
-38.7043303,176.0746721
-45.9031697,170.6515026
-44.270734,170.065766
-41.4895836,174.0098629
-36.16866053,174.6362745
-39.074243,174.10991
-38.967945,174.281277
-45.112194,170.9824
-39.20975156,175.680842
-38.12207294,176.31004
-36.89400353,174.8552518
-36.915183,174.776371
-36.8696739,174.6298914
-43.6873033,170.0755241
-37.685867,176.172657
-41.34887554,174.7404755
-37.770074,175.265061
-37.8175606,174.8020627
-37.707957,176.1494638
-41.2192507,174.8232105
-35.51155112,173.7570606
-35.72321313,174.325338
-37.0033222,175.8594286
-37.04847281,175.6763075
-37.421981,175.185242
-37.746511,176.455349
-41.23450741,174.90507
